"e","a","q","i"
0.1539,2.883,2.439,15.12
0.1111,2.867,2.548,11.53
0.4099,2.613,1.542,15.29
0.1047,2.23,1.996,6.79
0.0373,3.012,2.900,7.13
0.0163,3.195,3.143,20.60
0.1380,2.175,1.875,2.46
0.1562,3.06,2.582,17.30
0.0511,2.924,2.775,25.02
0.1953,2.728,2.195,14.43
0.1087,2.181,1.944,4.27
0.0848,2.674,2.447,3.48
0.1133,2.914,2.584,16.26
0.1318,3.131,2.718,1.75
0.1954,2.238,1.801,6.09
0.1851,2.576,2.099,12.76
0.1552,3.401,2.873,10.34
0.0554,2.535,2.394,14.27
0.0839,2.767,2.535,13.82
0.0866,2.814,2.570,8.49
0.2643,3.136,2.307,1.65
0.1980,3.056,2.451,6.93
0.0186,2.886,2.833,2.35
0.1180,3.552,3.133,8.32
0.1443,2.172,1.858,5.64
0.0559,2.994,2.827,4.99
0.2515,2.455,1.837,11.72
0.2223,2.573,2.001,3.79
0.2855,2.565,1.832,15.44
0.1039,2.567,2.300,15.06
0.0868,2.254,2.058,4.26
0.0967,2.76,2.493,18.05
0.1781,2.243,1.844,4.23
0.1429,2.99,2.563,10.69
0.0449,2.456,2.345,11.00
0.0581,3.398,3.201,20.29
0.1009,3.145,2.827,5.81
0.3208,2.731,1.855,16.87
0.1652,2.202,1.838,4.38
0.2444,2.591,1.958,12.37
0.0553,3.038,2.870,3.53
0.1433,2.737,2.345,20.66
0.1056,3.063,2.740,10.80
0.0692,2.72,2.532,8.41
0.1151,3.013,2.667,11.20
0.0601,2.793,2.625,4.84
0.1162,3.171,2.802,7.71
0.0428,3.259,3.119,13.29
0.2361,3.113,2.378,17.48
0.3396,3.001,1.982,18.21
0.1893,3.952,3.204,2.26
0.1741,2.243,1.852,5.39
0.1284,2.444,2.130,3.95
0.1511,2.552,2.166,15.60
0.0742,2.463,2.281,5.96
0.2210,2.329,1.815,10.09
0.0509,2.988,2.836,24.54
0.1365,3.182,2.748,3.24
0.1479,3.198,2.725,20.35
0.1080,2.373,2.117,8.17
0.1501,3.195,2.716,5.60
0.2053,2.618,2.081,19.90
0.2338,3.149,2.412,12.54
0.0623,2.864,2.686,2.16
0.1070,3.155,2.817,13.10
0.1658,2.241,1.869,4.08
0.0927,3.193,2.897,10.00
0.2857,2.544,1.817,5.53
0.0971,3.018,2.725,10.09
0.1829,3.119,2.548,2.41
0.2140,3.137,2.465,16.28
